Date	Store	Market	Product	Actual_Quantity
01-02-2010	S31       	Pacific Asia	P1        	909
01-03-2010	S31       	Pacific Asia	P1        	646
01-04-2010	S31       	Pacific Asia	P1        	1065
01-05-2010	S31       	Pacific Asia	P1        	600
01-06-2010	S31       	Pacific Asia	P1        	565
01-07-2010	S31       	Pacific Asia	P1        	667
01-08-2010	S31       	Pacific Asia	P1        	507
01-09-2010	S31       	Pacific Asia	P1        	565
01-10-2010	S31       	Pacific Asia	P1        	1015
01-11-2010	S31       	Pacific Asia	P1        	727
01-12-2010	S31       	Pacific Asia	P1        	1218
01-01-2011	S31       	Pacific Asia	P1        	543
01-02-2011	S31       	Pacific Asia	P1        	918
01-03-2011	S31       	Pacific Asia	P1        	597
01-04-2011	S31       	Pacific Asia	P1        	1140
01-05-2011	S31       	Pacific Asia	P1        	534
01-06-2011	S31       	Pacific Asia	P1        	521
01-07-2011	S31       	Pacific Asia	P1        	648
01-08-2011	S31       	Pacific Asia	P1        	559
01-09-2011	S31       	Pacific Asia	P1        	772
01-10-2011	S31       	Pacific Asia	P1        	812
01-11-2011	S31       	Pacific Asia	P1        	837
01-12-2011	S31       	Pacific Asia	P1        	1257
01-01-2012	S31       	Pacific Asia	P1        	574
01-02-2012	S31       	Pacific Asia	P1        	1006
01-03-2012	S31       	Pacific Asia	P1        	859
01-04-2012	S31       	Pacific Asia	P1        	905
01-05-2012	S31       	Pacific Asia	P1        	567
01-06-2012	S31       	Pacific Asia	P1        	715
01-07-2012	S31       	Pacific Asia	P1        	542
01-08-2012	S31       	Pacific Asia	P1        	677
01-09-2012	S31       	Pacific Asia	P1        	599
01-10-2012	S31       	Pacific Asia	P1        	0
01-11-2012	S31       	Pacific Asia	P1        	0
01-12-2012	S31       	Pacific Asia	P1        	0
